role_id,title,soc_code,department,headcount,gender_pct_female,median_salary,education_mode,remote_pct
R001,Software Engineer I,15-1252,Engineering,38,0.25,97000,Bachelor,0.85
R002,Software Engineer II,15-1252,Engineering,30,0.23,117000,Bachelor,0.86
R003,Senior Software Engineer,15-1252,Engineering,24,0.21,142000,Bachelor,0.90
R004,Staff Software Engineer,15-1252,Engineering,9,0.18,168000,Master,0.90
R005,Principal Software Engineer,15-1252,Engineering,3,0.15,192000,Master,0.95
R006,Software Engineering Manager,11-9041,Engineering,7,0.22,178000,Master,0.80
R007,Director of Engineering,11-9041,Engineering,2,0.20,212000,Master,0.75
R009,Frontend Developer,15-1252,Engineering,19,0.28,107000,Bachelor,0.90
R010,Backend Developer,15-1252,Engineering,22,0.20,114000,Bachelor,0.90
R013,DevOps Engineer,15-1244,Engineering,8,0.15,128000,Bachelor,0.90
R014,Site Reliability Engineer,15-1244,Engineering,6,0.13,138000,Bachelor,0.92
R016,Data Scientist,15-2051,R&D,13,0.36,133000,Master,0.88
R017,Senior Data Scientist,15-2051,R&D,7,0.33,158000,Master,0.90
R018,Machine Learning Engineer,15-2051,Engineering,12,0.26,148000,Master,0.88
R019,Senior ML Engineer,15-2051,Engineering,5,0.23,173000,Master,0.92
R020,AI Research Scientist,15-2051,R&D,4,0.30,178000,Doctorate,0.85
R021,Data Engineer,15-1252,Engineering,10,0.21,122000,Bachelor,0.88
R023,Data Analyst,15-2051,R&D,14,0.45,79000,Bachelor,0.83
R024,Senior Data Analyst,15-2051,R&D,6,0.42,96000,Bachelor,0.85
R025,Business Intelligence Analyst,15-2051,Operations,5,0.40,89000,Bachelor,0.80
R026,QA Engineer,15-1253,Engineering,10,0.30,86000,Bachelor,0.80
R029,Security Engineer,15-1212,IT,4,0.16,137000,Bachelor,0.80
R032,IT Support Specialist,15-1232,IT,7,0.33,56000,Associate,0.42
R033,IT Systems Administrator,15-1244,IT,5,0.18,81000,Bachelor,0.65
R035,Database Administrator,15-1242,IT,4,0.20,96000,Bachelor,0.75
R038,Financial Analyst,13-2051,Finance,10,0.43,76000,Bachelor,0.70
R039,Senior Financial Analyst,13-2051,Finance,5,0.40,96000,Bachelor,0.72
R041,Accountant,13-2011,Finance,8,0.55,69000,Bachelor,0.66
R042,Senior Accountant,13-2011,Finance,4,0.52,83000,Bachelor,0.68
R044,Controller,11-3031,Finance,1,0.40,157000,Master,0.55
R046,Accounts Payable Clerk,43-3031,Finance,5,0.72,42000,Associate,0.50
